h1_audio,candidate_h2_audio,rank,cost,is_true_match
061ea7d0-Audio_SP16,2988c6fc-Audio_SP13,1,0.4245751604112829,False
061ea7d0-Audio_SP16,d4c363bf-Audio_SP13,2,0.4916935744405857,False
061ea7d0-Audio_SP16,5819ce7a-Audio_SP11,3,0.4929071038581451,False
0af9ac47-Audio_SP14,0af9ac47-Audio_SP14,1,0.548475607404587,True
0af9ac47-Audio_SP14,adad0062-Audio_SP17,2,0.5826557697117108,False
0af9ac47-Audio_SP14,3361ee02-Audio_SP10,3,0.5985408060352535,False
0e6115f2-Audio_SP19,1c403477-Audio_SP13,1,0.2963360679417194,False
0e6115f2-Audio_SP19,5586979c-Audio_SP18,2,0.4228364030319493,False
0e6115f2-Audio_SP19,0e6115f2-Audio_SP19,3,0.4350452983150202,True
0f786745-Audio_SP20,0f786745-Audio_SP20,1,0.3743405960992301,True
0f786745-Audio_SP20,7e277fda-Audio_SP28,2,0.8929498020901127,False
0f786745-Audio_SP20,5278b5b9-Audio_SP15,3,1.4183439560099915,False
12c532f8-Audio_SP15,12c532f8-Audio_SP15,1,0.4100058115356418,True
12c532f8-Audio_SP15,919b9bc1-Audio_SP14,2,0.5692670286303815,False
12c532f8-Audio_SP15,7dec1dd7-Audio_SP13,3,0.619604521559832,False
181d5ce9-Audio_SP21,3361ee02-Audio_SP10,1,0.53651931738899,False
181d5ce9-Audio_SP21,181d5ce9-Audio_SP21,2,0.5595929232733412,True
181d5ce9-Audio_SP21,e90f8e4d-Audio_SP22,3,0.5762764576536413,False
1c403477-Audio_SP13,1c403477-Audio_SP13,1,0.2343272769775251,True
1c403477-Audio_SP13,0e6115f2-Audio_SP19,2,0.3731991994708394,False
1c403477-Audio_SP13,42d56bbf-Audio_SP23,3,0.4579976612458184,False
1d46eb6e-Audio_SP18,1d46eb6e-Audio_SP18,1,0.2345711238554146,True
1d46eb6e-Audio_SP18,2988c6fc-Audio_SP13,2,0.4354540629522004,False
1d46eb6e-Audio_SP18,061ea7d0-Audio_SP16,3,0.491159264887729,False
2988c6fc-Audio_SP13,2988c6fc-Audio_SP13,1,0.3612195104475719,True
2988c6fc-Audio_SP13,adad0062-Audio_SP17,2,0.4609461001892996,False
2988c6fc-Audio_SP13,5586979c-Audio_SP18,3,0.4667773312917747,False
2e25304d-Audio_SP12,2e25304d-Audio_SP12,1,0.5193990147094109,True
2e25304d-Audio_SP12,7a414497-Audio_SP15,2,0.741457039570916,False
2e25304d-Audio_SP12,cafd9c21-Audio_SP27,3,0.742810580731206,False
30a90cb2-Audio_SP21,3361ee02-Audio_SP10,1,0.6062000089381328,False
30a90cb2-Audio_SP21,e90f8e4d-Audio_SP22,2,0.6423652191925143,False
30a90cb2-Audio_SP21,30a90cb2-Audio_SP21,3,0.6595858231104458,True
3361ee02-Audio_SP10,3361ee02-Audio_SP10,1,0.6962511651723916,True
3361ee02-Audio_SP10,49ae7020-Audio_SP17,2,0.7447951300739958,False
3361ee02-Audio_SP10,1c403477-Audio_SP13,3,0.7717506381760028,False
34ad326e-Audio_SP7,34ad326e-Audio_SP7,1,0.6329169922243146,True
34ad326e-Audio_SP7,63239054-Audio_SP15,2,0.7088092798640869,False
34ad326e-Audio_SP7,7c3c98d2-Audio_SP13,3,0.7876469351111006,False
375a28cd-Audio_SP16,375a28cd-Audio_SP16,1,0.6079630839799329,True
375a28cd-Audio_SP16,9a0c18cb-Audio_SP14,2,1.0144617001019185,False
375a28cd-Audio_SP16,fcd45f4d-Audio_SP21,3,1.0210645890629604,False
42d56bbf-Audio_SP23,42d56bbf-Audio_SP23,1,0.1099330474144785,True
42d56bbf-Audio_SP23,1c403477-Audio_SP13,2,0.4985934731278642,False
42d56bbf-Audio_SP23,0e6115f2-Audio_SP19,3,0.5538338746308947,False
49ae7020-Audio_SP17,3361ee02-Audio_SP10,1,0.4901289856074852,False
49ae7020-Audio_SP17,49ae7020-Audio_SP17,2,0.5317919001724661,True
49ae7020-Audio_SP17,5a932187-audio_SP16,3,0.5986529885625366,False
501e6487-Audio_SP19,e90f8e4d-Audio_SP22,1,0.3162470124481359,False
501e6487-Audio_SP19,501e6487-Audio_SP19,2,0.3452545274438255,True
501e6487-Audio_SP19,713a2f9b-Audio_SP16,3,0.3475639181743835,False
514fc6b6-Audio_SP19,1d46eb6e-Audio_SP18,1,0.4294910770820261,False
514fc6b6-Audio_SP19,e90f8e4d-Audio_SP22,2,0.4963332739356419,False
514fc6b6-Audio_SP19,501e6487-Audio_SP19,3,0.501304091021237,False
51a17262-Audio_SP18,a452055c-Audio_SP11,1,0.6650060255076125,False
51a17262-Audio_SP18,51a17262-Audio_SP18,2,0.6683960346290592,True
51a17262-Audio_SP18,d4c363bf-Audio_SP13,3,0.6838920419964033,False
5278b5b9-Audio_SP15,3361ee02-Audio_SP10,1,0.5519515314175238,False
5278b5b9-Audio_SP15,1c403477-Audio_SP13,2,0.5552396392022033,False
5278b5b9-Audio_SP15,49ae7020-Audio_SP17,3,0.6316439752133808,False
5586979c-Audio_SP18,1d46eb6e-Audio_SP18,1,0.3449027400952171,False
5586979c-Audio_SP18,5819ce7a-Audio_SP11,2,0.3538322398126878,False
5586979c-Audio_SP18,2988c6fc-Audio_SP13,3,0.3968990160170458,False
5819ce7a-Audio_SP11,5819ce7a-Audio_SP11,1,0.1984970702715312,True
5819ce7a-Audio_SP11,2988c6fc-Audio_SP13,2,0.4024575115629783,False
5819ce7a-Audio_SP11,1d46eb6e-Audio_SP18,3,0.4849356211473739,False
5a932187-audio_SP16,5a932187-audio_SP16,1,0.2804183739518894,True
5a932187-audio_SP16,713a2f9b-Audio_SP16,2,0.7346633660196726,False
5a932187-audio_SP16,501e6487-Audio_SP19,3,0.7702539495110263,False
63239054-Audio_SP15,9a0c18cb-Audio_SP14,1,0.4613617374388054,False
63239054-Audio_SP15,fcd45f4d-Audio_SP21,2,0.5456625177536145,False
63239054-Audio_SP15,5278b5b9-Audio_SP15,3,0.5731185445044047,False
713a2f9b-Audio_SP16,3361ee02-Audio_SP10,1,0.3824641353005835,False
713a2f9b-Audio_SP16,49ae7020-Audio_SP17,2,0.4125474723697067,False
713a2f9b-Audio_SP16,1c403477-Audio_SP13,3,0.4531355660915198,False
7a414497-Audio_SP15,cafd9c21-Audio_SP27,1,0.3464955114963633,False
7a414497-Audio_SP15,7a414497-Audio_SP15,2,0.4229856235754086,True
7a414497-Audio_SP15,0af9ac47-Audio_SP14,3,0.7755094267909505,False
7aee4437-Audio_SP12,7aee4437-Audio_SP12,1,0.4980536976595332,True
7aee4437-Audio_SP12,f061152e-Audio_SP12,2,0.5418313867655887,False
7aee4437-Audio_SP12,514fc6b6-Audio_SP19,3,0.6474310800037582,False
7c3c98d2-Audio_SP13,7c3c98d2-Audio_SP13,1,0.3109014669739264,True
7c3c98d2-Audio_SP13,2e25304d-Audio_SP12,2,0.7244936226407661,False
7c3c98d2-Audio_SP13,34ad326e-Audio_SP7,3,0.7911267752597745,False
7dec1dd7-Audio_SP13,7dec1dd7-Audio_SP13,1,0.4486602080174187,True
7dec1dd7-Audio_SP13,12c532f8-Audio_SP15,2,0.4606152676631994,False
7dec1dd7-Audio_SP13,1d46eb6e-Audio_SP18,3,0.473475536014957,False
7e277fda-Audio_SP28,7e277fda-Audio_SP28,1,0.1872684645536763,True
7e277fda-Audio_SP28,0f786745-Audio_SP20,2,0.7537346562877112,False
7e277fda-Audio_SP28,e90f8e4d-Audio_SP22,3,1.0671817368699468,False
85c7895f-Audio_SP16,85c7895f-Audio_SP16,1,0.4382916886233279,True
85c7895f-Audio_SP16,5819ce7a-Audio_SP11,2,0.7821287639448526,False
85c7895f-Audio_SP16,2988c6fc-Audio_SP13,3,0.8314080165547698,False
919b9bc1-Audio_SP14,919b9bc1-Audio_SP14,1,0.4161560529803939,True
919b9bc1-Audio_SP14,713a2f9b-Audio_SP16,2,0.6348983539192687,False
919b9bc1-Audio_SP14,3361ee02-Audio_SP10,3,0.658147757307866,False
9a0c18cb-Audio_SP14,3361ee02-Audio_SP10,1,0.6712681559276935,False
9a0c18cb-Audio_SP14,919b9bc1-Audio_SP14,2,0.7159235113869092,False
9a0c18cb-Audio_SP14,1c403477-Audio_SP13,3,0.7317915995156121,False
a1a056ce-Audio_SP11,adad0062-Audio_SP17,1,0.6073013566452085,False
a1a056ce-Audio_SP11,e90f8e4d-Audio_SP22,2,0.6101792583124673,False
a1a056ce-Audio_SP11,3361ee02-Audio_SP10,3,0.6202940258240726,False
a452055c-Audio_SP11,a452055c-Audio_SP11,1,0.3103176224353618,True
a452055c-Audio_SP11,1d46eb6e-Audio_SP18,2,0.4674298248289411,False
a452055c-Audio_SP11,501e6487-Audio_SP19,3,0.5887946661898489,False
adad0062-Audio_SP17,adad0062-Audio_SP17,1,0.2717934028311173,True
