file,speaker,status,reason,raw_rows,retained_rows
061ea7d0-Audio_SP16.csv,061ea7d0-Audio_SP16,loaded,,3042,2903
0af9ac47-Audio_SP14.csv,0af9ac47-Audio_SP14,loaded,,3609,3466
0e6115f2-Audio_SP19.csv,0e6115f2-Audio_SP19,loaded,,3653,3495
0f786745-Audio_SP20.csv,0f786745-Audio_SP20,loaded,,3821,3677
12c532f8-Audio_SP15.csv,12c532f8-Audio_SP15,loaded,,3409,3342
181d5ce9-Audio_SP21.csv,181d5ce9-Audio_SP21,loaded,,1757,1729
1c403477-Audio_SP13.csv,1c403477-Audio_SP13,loaded,,3483,3321
1d46eb6e-Audio_SP18.csv,1d46eb6e-Audio_SP18,loaded,,5153,4972
2988c6fc-Audio_SP13.csv,2988c6fc-Audio_SP13,loaded,,2517,2406
2e25304d-Audio_SP12.csv,2e25304d-Audio_SP12,loaded,,1265,1234
30a90cb2-Audio_SP21.csv,30a90cb2-Audio_SP21,loaded,,3371,3151
3361ee02-Audio_SP10.csv,3361ee02-Audio_SP10,loaded,,2307,2233
34ad326e-Audio_SP7.csv,34ad326e-Audio_SP7,loaded,,1514,1458
375a28cd-Audio_SP16.csv,375a28cd-Audio_SP16,loaded,,3560,3445
42d56bbf-Audio_SP23.csv,42d56bbf-Audio_SP23,loaded,,10244,9770
49ae7020-Audio_SP17.csv,49ae7020-Audio_SP17,loaded,,2472,2377
501e6487-Audio_SP19.csv,501e6487-Audio_SP19,loaded,,5439,5259
514fc6b6-Audio_SP19.csv,514fc6b6-Audio_SP19,loaded,,4355,4227
51a17262-Audio_SP18.csv,51a17262-Audio_SP18,loaded,,2817,2738
5278b5b9-Audio_SP15.csv,5278b5b9-Audio_SP15,loaded,,2037,1916
5586979c-Audio_SP18.csv,5586979c-Audio_SP18,loaded,,4385,4244
5819ce7a-Audio_SP11.csv,5819ce7a-Audio_SP11,loaded,,4050,3848
5a932187-audio_SP16.csv,5a932187-audio_SP16,loaded,,4126,3930
63239054-Audio_SP15.csv,63239054-Audio_SP15,loaded,,2771,2628
713a2f9b-Audio_SP16.csv,713a2f9b-Audio_SP16,loaded,,3358,3172
7a414497-Audio_SP15.csv,7a414497-Audio_SP15,loaded,,2273,2137
7aee4437-Audio_SP12.csv,7aee4437-Audio_SP12,loaded,,1711,1642
7c3c98d2-Audio_SP13.csv,7c3c98d2-Audio_SP13,loaded,,4339,4155
7dec1dd7-Audio_SP13.csv,7dec1dd7-Audio_SP13,loaded,,2399,2334
7e277fda-Audio_SP28.csv,7e277fda-Audio_SP28,loaded,,3539,3383
85c7895f-Audio_SP16.csv,85c7895f-Audio_SP16,loaded,,5987,5726
919b9bc1-Audio_SP14.csv,919b9bc1-Audio_SP14,loaded,,2220,2133
9a0c18cb-Audio_SP14.csv,9a0c18cb-Audio_SP14,loaded,,2121,2033
a1a056ce-Audio_SP11.csv,a1a056ce-Audio_SP11,loaded,,1705,1617
a452055c-Audio_SP11.csv,a452055c-Audio_SP11,loaded,,3994,3839
adad0062-Audio_SP17.csv,adad0062-Audio_SP17,loaded,,3893,3705
c3533b36-Audio_SP16.csv,c3533b36-Audio_SP16,loaded,,2024,1959
cafd9c21-Audio_SP27.csv,cafd9c21-Audio_SP27,loaded,,5198,4907
d4c363bf-Audio_SP13.csv,d4c363bf-Audio_SP13,loaded,,3537,3390
dbeec025-Audio_SP13.csv,dbeec025-Audio_SP13,loaded,,2814,2727
e90f8e4d-Audio_SP22.csv,e90f8e4d-Audio_SP22,loaded,,2622,2564
f061152e-Audio_SP12.csv,f061152e-Audio_SP12,loaded,,3019,2900
fcd45f4d-Audio_SP21.csv,fcd45f4d-Audio_SP21,loaded,,2573,2501
